created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url;sentiment
Thu Aug 17 23:59:39 +0000 2023;1,69E+18;@tvOneNews Anjing itu mulutnya bajingan tolol. Menggonggong terus walaupun kita tak paham. Nah si Bacotwan manusia Yaman Anies Baswedan ngebacot ga jelas kebohongannya sampai manapun tetap ngebacot. Indonesia mau di Yamanisasi agar hancur bak jalan Jakarta. Fakta Anies itu Yaman.;0;0;0;0;in;535491993;1,69E+18;NyomanSurawan;https://twitter.com/NyomanSurawan/status/1692325349215064124;0
Thu Aug 17 23:59:21 +0000 2023;1,69E+18;@BosPurwa @aniesbaswedan Hasto itu tidak pernah belajar sejarah.. Sok tau...;0;0;0;0;in;1,69E+18;1,69E+18;arifian2108;https://twitter.com/arifian2108/status/1692325271620432074;0
Thu Aug 17 23:58:52 +0000 2023;1,69E+18;@aniesbaswedan Bagus pak Anies, sikap gentlemen taati aturan yg fairness dlm game. Jangan sampai bila kalah tanding marah2, lalu naik banding ke MA plus nyogok utk menang, kayak kasus partai Demokrat? InsyaAllah teladan pak Anies timbulkan simpati dan menang jadi Presiden RI pd pilpres Feb 2024;0;0;0;0;in;1,10E+18;1,69E+18;jonsa61664335;https://twitter.com/jonsa61664335/status/1692325148920361038;1
Thu Aug 17 23:58:34 +0000 2023;1,69E+18;@karniilyasclub @aniesbaswedan Disenyumin saja, waktu jadi gabener Jakarta kemiskinan meningkat, jangankan rakyat miskin mau memiliki rumah, DP 0 rupiah saja bohong, yang awalnya untuk rakyat miskin waktu mau dilaksanakan eh.. ternyata yang punya penghasilan 14 juta/bulan, waktu mau dilaksanakan eh.. gak ada. https://t.co/PKExzxWcGR;0;0;0;1;in;955065858;1,69E+18;TukimanChu;https://twitter.com/TukimanChu/status/1692325075327054311;0
Thu Aug 17 23:58:28 +0000 2023;1,69E+18;@aniesbaswedan Kirain pak RT nya mengalah ... ??;0;0;0;1;in;1,62E+18;1,69E+18;Lets_Me_Check;https://twitter.com/Lets_Me_Check/status/1692325051012723085;0
Thu Aug 17 23:58:03 +0000 2023;1,69E+18;@AirinDatangLagi Abaikan aja orang yg tak punya prestasi macam pak @aniesbaswedan  ini, kalian g usah mikirin pak anies, biar kami yg brikhtiar dan berdoa tuk kemenangan beliau. Nyanyi aja yuk.... Cikini ke Gondangdia, Iri dengki hati tak bajagia Ciamis ke Surabaya, biar pak anis urusan kitaa....;0;1;0;5;in;1,61E+18;1,69E+18;antasen69661738;https://twitter.com/antasen69661738/status/1692324944271843639;1
Thu Aug 17 23:57:52 +0000 2023;1,69E+18;@putra_adrin @hedy_subagyo @raswandy_w @Hasbil_Lbs @jokowi @aniesbaswedan Ho'oh, bikin gemes karena ketololan kayak junjungan dan sesembahannya.;0;1;0;0;in;1,67E+18;1,69E+18;FurqanIbr64677;https://twitter.com/FurqanIbr64677/status/1692324898339950656;0
Thu Aug 17 23:57:30 +0000 2023;1,69E+18;@aniesbaswedan Orang bebas ma merdeka mau ngapain ngapain... ????;0;0;0;0;in;1,62E+18;1,69E+18;Lets_Me_Check;https://twitter.com/Lets_Me_Check/status/1692324808594456653;1
Thu Aug 17 23:56:44 +0000 2023;1,69E+18;Anies Baswedan hanya menghasilkan Sampah!! Anies Tolol!!! https://t.co/RIabPirMfG;0;0;0;0;in;1,62E+18;1,69E+18;BadangSetiawan;https://twitter.com/BadangSetiawan/status/1692324613601292648;0
Thu Aug 17 23:56:33 +0000 2023;1,69E+18;Anies Baswedan Ga hanya Buruk tapi juga busuk https://t.co/Km0cAIWdqa;0;0;0;0;in;1,62E+18;1,69E+18;BadangSetiawan;https://twitter.com/BadangSetiawan/status/1692324566176297462;0
Thu Aug 17 23:56:21 +0000 2023;1,69E+18;@kumparan @aniesbaswedan Jangan sampai negara lain tahu banget IKN seperti apa, karena harus top.secret kalau beginian mah Dan tidak serta merta penting  banget harus pindah ibukota;0;0;0;0;in;7,81E+17;1,69E+18;syahid243;https://twitter.com/syahid243/status/1692324517480415737;0
Thu Aug 17 23:56:20 +0000 2023;1,69E+18;@kompascom 10Th banyak oknum korup, mana percaya.?? Wahaye pak @aniesbaswedan;0;0;0;0;in;1725556034;1,69E+18;Bro_Lucky86;https://twitter.com/Bro_Lucky86/status/1692324512636064099;1
Thu Aug 17 23:56:13 +0000 2023;1,69E+18;Anies Baswedan Bodoh! Gak pantes jadi pemimpin https://t.co/0UNDnLfJSP;0;0;0;0;in;1,62E+18;1,69E+18;BadangSetiawan;https://twitter.com/BadangSetiawan/status/1692324485758845264;0
Thu Aug 17 23:55:59 +0000 2023;1,69E+18;@aniesbaswedan Tiap hari cuma tata kata terus Momoles sesuatu yg sudah ada;0;0;0;0;in;1,62E+18;1,69E+18;BudiYon43861466;https://twitter.com/BudiYon43861466/status/1692324424933097720;0
Thu Aug 17 23:55:57 +0000 2023;1,69E+18;Apakah ini suatu kebetulan atau petunjuk nyata Mas @aniesbaswedan mendapatkan Wahyu tugas tanggung jawab untuk membawa Indonesia lebih baik dari Pangeran Diponegoro. Membawa keadilan sosial bagi seluruh rakyat Indonesia. https://t.co/dRe3D6ZexK;0;0;2;9;in;2558197662;1,69E+18;patriot016610;https://twitter.com/patriot016610/status/1692324416112435673;1
Thu Aug 17 23:55:19 +0000 2023;1,69E+18;@bachrum_achmadi Lu Pikir Anies Baswedan,SBY jujur ya;0;0;0;0;in;1,57E+18;1,69E+18;AsatArifin5;https://twitter.com/AsatArifin5/status/1692324259530752152;0
Thu Aug 17 23:54:43 +0000 2023;1,69E+18;@bungr_herman18 @MohamadMaskur8 @setaganteng @CebongQarduz @aniesbaswedan Ya udah suka2 loe deh, xixixi!  Toh gw jelasin ribuan kali jg gak bakalan nyambung, coz gw pake ilmu akunting, sementara kalian pake ilmu warung. ?????? https://t.co/JTQoS1ktwy;0;1;1;0;in;1,23E+18;1,69E+18;JustKaka04;https://twitter.com/JustKaka04/status/1692324106233073992;0
