created_at;id_str;full_text;sentimen;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Sep 03 23:59:36 +0000 2023;1,70E+18;@HusinShihab @ganjarpranowo Ini terus jualannya 🤣;1;0;0;0;0;in;1,34E+18;1,70E+18;Ayang_Hyang01;https://twitter.com/Ayang_Hyang01/status/1698485927520116739
Sun Sep 03 23:59:31 +0000 2023;1,70E+18;@ghozyulhaq @ganjarpranowo Namanya piatu mas;1;0;0;0;0;in;1,68E+18;1,70E+18;Aquarius06S;https://twitter.com/Aquarius06S/status/1698485906628374784
Sun Sep 03 23:59:02 +0000 2023;1,70E+18;@Uki23 @ganjarpranowo Penurunan angka kemiskinannya masih kalah dg 5 tahun masa gubernur sebelumnya;0;0;1;0;9;in;545264533;1,70E+18;WAHYU_UNIFORM;https://twitter.com/WAHYU_UNIFORM/status/1698485785538801702
Sun Sep 03 23:58:50 +0000 2023;1,70E+18;@MurtadhaOne @MurtadhaOne1 @ganjarpranowo Demokrasi ala wakanda.. 😅;0;0;0;0;0;in;1,56E+18;1,70E+18;SholehSyamsudd2;https://twitter.com/SholehSyamsudd2/status/1698485737803411561
Sun Sep 03 23:58:35 +0000 2023;1,70E+18;@KaredokLeunca__ @yennywahid @ganjarpranowo @gibran_tweet Gimana kalo makk jadi cawapresnya Mas Anies? Gkgkgkgk;1;0;0;0;0;in;1,38E+18;1,70E+18;sukmawijaya91;https://twitter.com/sukmawijaya91/status/1698485674293211578
Sun Sep 03 23:58:28 +0000 2023;1,70E+18;@ch_chotimah2 @ganjarpranowo Ke UI kpn..?  Bukan jogging lo..😅;1;0;2;0;0;in;1,56E+18;1,70E+18;SholehSyamsudd2;https://twitter.com/SholehSyamsudd2/status/1698485642651459653
Sun Sep 03 23:58:09 +0000 2023;1,70E+18;Puan Yakin PPP Tetap Bersama di Koalisi Pengusung Ganjar Pranowo https://t.co/hKVbQPtALq;1;0;0;0;4;in;71436318;1,70E+18;KompasTV;https://twitter.com/KompasTV/status/1698485563945295974
Sun Sep 03 23:58:02 +0000 2023;1,70E+18;@faiwdx80 @intermakcz @HusinShihab @ganjarpranowo Jawab sin.....ulah lebar mulut doang loe,;0;0;0;0;0;in;1,53E+18;1,70E+18;Sugiant10486974;https://twitter.com/Sugiant10486974/status/1698485534169981357
Sun Sep 03 23:57:58 +0000 2023;1,70E+18;Ganjar Pranowo dipuji Presiden Jokowi karena sukses membangun SMKN Jateng https://t.co/A8XOyyI7Q9;1;2;0;0;1;in;1,62E+18;1,70E+18;RahmatWijaksono;https://twitter.com/RahmatWijaksono/status/1698485518395187486
Sun Sep 03 23:57:05 +0000 2023;1,70E+18;SEKOLAH PERCONTOHAN NASIONAL  Progam Unggulan Menjadi Salah Satu  REKAM JEJAK @ganjarpranowo   Membuat Terpincut Presiden @jokowi dan TAKAYAMA College Of Car dr JEPANG Siap menampung Lulusan SMKN  JATENG  Utk Mempersiapkan SDM Unggul dan Perbaikan Ekonomi  #GanjarPenerusJokowi https://t.co/jqWhHlaWTA;1;0;4;24;36;in;1,32E+18;1,70E+18;SETYAKI22965702;https://twitter.com/SETYAKI22965702/status/1698485297732849803
