created_at;id_str;full_text;sentimen;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 19 23:59:51 +0000 2023;1,63E+18;@are_inismyname @florieliciouss @zein_aniq @Yopiluthfi2 @Kosim__ @prabowo @Ken_Atie @Kimberley_20102 @BANGSAygSUJUD @bengkeldodo @yosephrosario_ @emhamka08 @ferdinand_mpu @CakMartinez @4Y4NKZ @AKU_dgn3putra Lebih tepat nya mbak..bukan Mbah Sebab usia mbak nya baru 22??;1;0;2;0;3;in;1,61E+18;1,63E+18;DarekaRendy;https://twitter.com/DarekaRendy/status/1627457971008704515
Sun Feb 19 23:57:48 +0000 2023;1,63E+18;@Kimberley_20102 @florieliciouss @zein_aniq @Yopiluthfi2 @Kosim__ @prabowo @Ken_Atie @DarekaRendy @BANGSAygSUJUD @bengkeldodo @yosephrosario_ @emhamka08 @ferdinand_mpu @CakMartinez @4Y4NKZ @AKU_dgn3putra ??;1;0;1;0;1;qme;1,15E+18;1,63E+18;are_inismyname;https://twitter.com/are_inismyname/status/1627457454564048899
Sun Feb 19 23:56:15 +0000 2023;1,63E+18;@florieliciouss @prabowo Msim hujan koq ya duingin dunk...;1;0;0;0;0;in;1,21E+18;1,63E+18;tutura2003yaho1;https://twitter.com/tutura2003yaho1/status/1627457065945018370
Sun Feb 19 23:53:54 +0000 2023;1,63E+18;pro status quo !  kesimpulan: milih prabowo itu berarti sama dengan anda memilih Jokowi 3 periode, cuma beda casing.;1;0;0;0;0;in;1,60E+18;1,63E+18;zola_papazola2;https://twitter.com/zola_papazola2/status/1627456473902227456
Sun Feb 19 23:49:56 +0000 2023;1,63E+18;@Kanjeng2022 Prabowo... Memang  layak jd calon presiden bersama calon2 potensial lainya ,, ya... Masalahnya... Cuma Itu... Tuch.... Ada beberapa org di dalamnya.... Yg bikin blunder... Dan tukang bikin gaduh.... Sprt si zhonk.... ,,;1;0;0;0;3;in;1,61E+18;1,63E+18;TerahirPejuang;https://twitter.com/TerahirPejuang/status/1627455474215063553
Sun Feb 19 23:49:43 +0000 2023;1,63E+18;Dahulu SBY-JK  Kemarin Lusa JOKOWI-JK  Pak JK adalah sosok tengah yang selalu dipakai untuk memulai memenangkan jalan tengah.. meskipun di ronde periode ke-2 nya beliau tidak dipakai lagi.  Besok apakah akan ada.  Anies-JK.? Ganjar-JK.? atau Prabowo -JK.? https://t.co/37hgBxqSjf;1;0;0;0;1;in;1,50E+18;1,63E+18;ariprachmanhkm;https://twitter.com/ariprachmanhkm/status/1627455420880265216
Sun Feb 19 23:47:38 +0000 2023;1,63E+18;@LaJaya75536516 @ch_chotimah2 @NasDem @adityawilly @aniesbaswedan @jokowi Pak Prabowo dulu juga gitu waktu kampanye...tapi 2X kalah ???????? https://t.co/aW1xefwjtF;1;0;0;0;0;in;287603732;1,63E+18;editya77;https://twitter.com/editya77/status/1627454896634212352
Sun Feb 19 23:47:29 +0000 2023;1,63E+18;@DarekaRendy @Kosim__ @prabowo @florieliciouss @Ken_Atie @Kimberley_20102 @BANGSAygSUJUD @bengkeldodo @yosephrosario_ @are_inismyname @emhamka08 @ferdinand_mpu @CakMartinez @4Y4NKZ @AKU_dgn3putra Nah itu tau....;1;0;0;0;0;in;1,27E+18;1,63E+18;NunutUswatun;https://twitter.com/NunutUswatun/status/1627454858549956608
Sun Feb 19 23:46:32 +0000 2023;1,63E+18;@florieliciouss @zein_aniq @Yopiluthfi2 @Kosim__ @prabowo @Ken_Atie @Kimberley_20102 @DarekaRendy @BANGSAygSUJUD @bengkeldodo @yosephrosario_ @emhamka08 @ferdinand_mpu @CakMartinez @4Y4NKZ @AKU_dgn3putra Udh mbah gak ush diterusin.... sebagai umat akhir jaman lebih baik cuek gak ush ditanggepin yg bs menimbulkan fitnah. Yg penting pilih #prabowo ??;1;0;2;0;3;in;1,15E+18;1,63E+18;are_inismyname;https://twitter.com/are_inismyname/status/1627454619864674304
Sun Feb 19 23:46:14 +0000 2023;1,63E+18;Luar biasa sambutan mantan Jokowi Mania kepada Prabowo Militan sekali...sampe² Pak Anies kejepit di tengah kerumunan massa https://t.co/iJF62M70n8;1;0;0;1;4;in;1,56E+18;1,63E+18;PtkDaeng;https://twitter.com/PtkDaeng/status/1627454545575161858
Sun Feb 19 23:42:18 +0000 2023;1,63E+18;@habiburokhman @prabowo Hati hati.....buat apa panjang gerbong  kalau kursinya pada kosong.....??;1;0;0;0;0;in;1,62E+18;1,63E+18;alwiyadoni18;https://twitter.com/alwiyadoni18/status/1627453555799117825
Sun Feb 19 23:41:54 +0000 2023;1,63E+18;@Cintada16 Klo bicara elektabilitas PDIP oke.. Tinggal Di bolak balik aja..Ganjar-Prabowo..;1;0;0;0;0;in;1,49E+18;1,63E+18;ZainalA30415228;https://twitter.com/ZainalA30415228/status/1627453451327389697
Sun Feb 19 23:40:53 +0000 2023;1,63E+18;@ch_chotimah2 Nih org pendirian nya kaya Ruhut kemarin bela Ganjar sekarang bela Prabowo .. hahaha udh kebingungan dia pilih siapa;1;0;0;0;0;in;1,57E+18;1,63E+18;BuzerMelawan;https://twitter.com/BuzerMelawan/status/1627453195718111232
Sun Feb 19 23:36:21 +0000 2023;1,63E+18;Ketika ibu Megawati - Ketua Dewan Pengarah BPIP bangga kpd Kapolri.  Pun sy perlu menyampaikan bhw  dgn segala kelebihan &amp  kekurangan beliau, sy patut mengapresiasi kinerja Kapolri &amp  bangga dgn Jenderal Pol. Drs. Listyo Sigit Prabowo.  Sehat selalu pak @ListyoSigitP https://t.co/EzTwKJZG2a;1;3;17;94;338;in;1,16E+18;1,63E+18;__AnakKolong;https://twitter.com/__AnakKolong/status/1627452058323537920
Sun Feb 19 23:35:51 +0000 2023;1,63E+18;@musniumar Prabowo yg waktu itu didukung full oposisi aja kalah ..skrg? Indikasi kuat Prabowo gabung dgn PDIP...oposisi apa kabar?????;1;0;0;0;0;in;9,20E+17;1,63E+18;Latupeirissa77;https://twitter.com/Latupeirissa77/status/1627451931718467584
